customer_id,age,tenure_months,annual_income,avg_balance,baseline_sessions_30d,digital_transaction_share,support_tickets_90d,product_count,prior_nps,missed_payment_flag,metro_flag,treated,true_propensity,true_retention_effect,pre_avg_active_days,post_avg_active_days,post_sessions_total,retained_30d,churned_30d
1,27,40.1,45863.0,4265.37,3.1,0.306,0,1,39.0,1,1,0,0.29621,0.075,0.194,0.166,11.15,0,1
2,45,86.7,135997.0,12826.63,8.0,0.38,0,5,51.0,0,0,0,0.20444,0.03,1.622,1.555,40.22,1,0
3,37,24.8,53266.0,1739.07,6.3,0.617,1,3,7.0,0,0,1,0.33342,0.075,0.851,1.099,34.97,1,0
4,34,23.3,89841.0,6048.23,11.3,0.569,2,2,26.0,0,1,1,0.4464,0.03,1.709,1.532,31.02,1,0
5,27,13.3,95552.0,7504.7,16.9,0.99,1,2,53.0,0,1,1,0.51805,0.078,1.53,1.953,42.59,0,1
6,38,27.7,35946.0,3905.48,1.6,0.517,2,1,-11.0,0,1,0,0.34181,0.075,0.41,0.223,7.9,1,0
7,33,3.2,78235.0,4248.09,0.0,0.343,1,1,11.0,0,1,1,0.36923,0.105,0.622,0.77,23.27,0,1
8,37,15.1,50031.0,2947.08,4.0,0.155,1,1,6.0,0,1,0,0.29573,0.105,0.361,0.279,13.58,0,1
9,40,33.2,81007.0,2696.12,18.6,0.849,0,2,34.0,0,1,1,0.40474,0.048,2.341,2.263,58.03,0,1
10,48,49.5,107098.0,84184.59,9.2,0.636,0,3,40.0,0,0,0,0.25664,0.03,0.651,0.913,26.65,1,0
11,57,53.0,152545.0,20331.47,8.7,0.69,0,4,-2.0,0,1,1,0.35719,0.03,2.366,2.626,56.77,0,1
12,39,22.2,117496.0,3939.24,4.5,0.308,0,1,40.0,1,0,0,0.30803,0.075,0.925,0.585,19.12,0,1
13,28,34.4,74515.0,7437.79,9.8,0.61,2,4,4.0,0,1,0,0.46086,0.03,1.738,1.429,37.35,0,1
14,27,14.5,52111.0,4325.63,1.8,0.45,1,3,-25.0,0,0,1,0.32973,0.105,0.537,1.074,26.36,0,1
15,43,62.9,129615.0,21588.69,10.1,0.748,0,5,45.0,0,1,0,0.2475,0.03,0.684,0.412,10.75,0,1
16,23,23.3,51116.0,8920.19,18.3,0.866,1,2,52.0,1,1,0,0.61936,0.048,2.478,2.354,53.38,1,0
17,37,54.5,106472.0,19595.94,8.0,0.639,1,1,20.0,0,0,1,0.38546,0.03,1.412,1.345,35.4,1,0
18,33,14.5,82699.0,8571.45,17.2,0.932,0,1,77.0,0,1,1,0.40703,0.078,2.215,2.769,58.9,1,0
19,44,21.5,44449.0,3323.67,0.0,0.526,0,2,46.0,0,1,1,0.22569,0.075,0.572,0.772,20.58,1,0
20,40,49.3,54722.0,6029.17,9.5,0.5,2,4,-13.0,0,1,1,0.39529,0.03,0.112,0.311,15.8,0,1
21,32,15.4,59244.0,18783.62,4.1,0.092,0,2,20.0,0,1,0,0.21076,0.105,0.946,0.614,15.85,1,0
22,34,46.1,177486.0,16796.66,11.4,0.614,1,5,25.0,0,1,0,0.30219,0.03,1.785,0.808,22.54,0,1
23,35,25.0,43240.0,5319.67,4.0,0.405,2,2,29.0,0,1,0,0.33287,0.075,1.221,0.905,32.16,0,1
24,35,34.9,79691.0,3724.46,6.8,0.303,0,1,-31.0,1,0,0,0.26727,0.075,1.139,0.781,25.03,0,1
25,36,26.3,57558.0,2880.5,3.4,0.264,1,2,-14.0,0,1,0,0.25344,0.075,1.799,1.536,36.83,0,1
26,44,14.8,59120.0,5075.54,9.8,0.837,1,3,36.0,0,1,0,0.49052,0.078,1.702,1.59,38.93,1,0
27,58,44.6,121629.0,22967.86,7.4,0.627,0,3,33.0,0,0,0,0.29666,0.075,1.007,0.611,25.04,1,0
28,34,15.3,121856.0,5939.73,16.5,0.91,1,3,47.0,0,1,0,0.50152,0.078,1.771,1.8,40.35,1,0
29,22,30.8,52244.0,5529.04,16.4,0.649,0,2,68.0,0,1,0,0.35197,0.03,2.279,2.502,59.18,1,0
30,34,16.2,59090.0,45600.38,9.4,0.397,2,2,-20.0,0,1,0,0.33532,0.06,1.943,1.583,39.27,1,0
31,34,19.1,76305.0,6017.35,3.1,0.554,1,2,-15.0,0,0,1,0.3395,0.075,0.071,0.492,19.54,1,0
32,30,17.4,62551.0,4195.18,3.6,0.409,1,2,3.0,0,0,0,0.31853,0.105,0.609,0.695,19.72,0,1
33,53,53.6,111455.0,46518.46,5.0,0.64,0,5,22.0,0,1,0,0.28924,0.075,1.172,0.851,22.1,1,0
34,51,65.0,179065.0,105787.82,2.6,0.493,0,3,45.0,0,0,0,0.18199,0.075,0.165,0.14,13.49,1,0
35,41,67.3,181376.0,17029.7,7.7,0.64,1,5,63.0,0,1,0,0.25337,0.075,1.902,1.373,37.96,0,1
36,37,21.2,83114.0,3996.03,14.0,0.859,0,1,71.0,1,1,1,0.45976,0.048,2.317,1.932,45.2,0,1
37,30,4.3,64418.0,1302.7,18.9,0.832,0,2,65.0,0,1,0,0.3898,0.078,2.309,2.06,48.18,1,0
38,37,42.2,121938.0,46013.69,2.1,0.479,0,4,23.0,0,0,1,0.25354,0.075,1.208,1.43,40.55,0,1
39,29,19.1,82072.0,7809.89,16.8,0.804,0,3,41.0,0,1,1,0.42118,0.048,2.33,2.812,65.93,1,0
40,40,24.9,50524.0,4188.33,14.7,0.807,3,3,0.0,0,1,0,0.56784,0.023,2.38,2.045,48.76,0,1
41,56,84.1,197503.0,81331.87,7.5,0.602,0,4,19.0,0,0,1,0.35317,0.075,1.875,1.957,41.47,0,1
42,33,44.6,93372.0,1880.13,4.5,0.517,0,3,-3.0,0,1,0,0.25022,0.075,0.427,0.32,16.81,0,1
43,44,54.9,67556.0,6403.45,10.2,0.568,2,2,-1.0,1,1,0,0.44747,0.03,3.08,2.386,53.91,0,1
44,50,50.7,151927.0,34586.17,9.4,0.606,0,4,8.0,0,1,1,0.30929,0.03,1.154,1.158,24.99,1,0
45,26,28.8,81264.0,8455.69,3.4,0.36,1,1,31.0,0,0,0,0.18257,0.075,1.245,0.743,22.38,0,1
46,25,32.5,100037.0,1717.35,1.8,0.578,2,1,2.0,0,1,1,0.34531,0.075,0.682,0.79,17.99,0,1
47,57,71.1,210112.0,38669.32,9.8,0.681,1,3,44.0,0,0,1,0.20935,0.03,1.209,1.724,36.22,1,0
48,37,11.7,47567.0,7446.33,10.8,0.813,0,2,48.0,0,1,0,0.40172,0.078,1.776,1.514,42.83,0,1
49,40,46.3,66120.0,11576.15,11.2,0.547,2,3,16.0,0,1,0,0.35609,0.03,1.582,1.356,29.87,1,0
50,39,16.0,87001.0,6669.79,14.9,0.99,0,1,4.0,0,1,0,0.42869,0.078,2.553,2.35,51.43,1,0
