customer_id,week,post,treated,weekly_active_days,weekly_sessions,weekly_transactions
1,-8,0,0,0.244,2.38,1.95
2,-8,0,0,2.575,5.57,3.75
3,-8,0,1,0.318,2.57,1.56
4,-8,0,1,2.145,5.06,2.97
5,-8,0,1,1.35,2.59,1.43
6,-8,0,0,1.642,5.21,3.96
7,-8,0,1,0.384,2.8,1.75
8,-8,0,0,0.0,0.0,0.0
9,-8,0,1,1.863,5.5,3.32
10,-8,0,0,0.181,0.43,0.34
11,-8,0,1,3.569,7.5,4.47
12,-8,0,0,0.642,1.12,0.56
13,-8,0,0,2.488,5.31,3.16
14,-8,0,1,0.988,2.61,1.85
15,-8,0,0,0.0,0.0,0.0
16,-8,0,0,1.632,4.72,2.57
17,-8,0,1,1.59,3.75,2.67
18,-8,0,1,2.178,5.87,4.54
19,-8,0,1,0.723,2.27,1.83
20,-8,0,1,0.05,1.1,0.73
21,-8,0,0,0.0,1.0,0.63
22,-8,0,0,1.082,4.16,2.89
23,-8,0,0,1.635,4.39,3.44
24,-8,0,0,0.0,0.0,0.0
25,-8,0,0,2.321,5.99,3.83
26,-8,0,0,1.614,4.35,2.36
27,-8,0,0,0.168,0.33,0.22
28,-8,0,0,2.006,9.43,6.09
29,-8,0,0,2.29,7.25,5.05
30,-8,0,0,2.323,8.91,4.69
31,-8,0,1,0.0,2.0,1.15
32,-8,0,0,1.295,4.1,3.05
33,-8,0,0,1.082,3.42,2.29
34,-8,0,0,0.222,2.47,1.28
35,-8,0,0,1.64,4.83,3.82
36,-8,0,1,1.414,2.68,1.65
37,-8,0,0,2.721,6.68,4.61
38,-8,0,1,0.876,2.02,1.2
39,-8,0,1,2.203,6.95,4.71
40,-8,0,0,3.259,6.73,5.33
41,-8,0,1,2.465,4.69,3.71
42,-8,0,0,0.0,2.0,1.64
43,-8,0,0,3.763,5.78,3.44
44,-8,0,1,0.29,1.45,1.04
45,-8,0,0,1.0,2.49,1.16
46,-8,0,1,0.995,4.88,3.34
47,-8,0,1,0.0,0.0,0.0
48,-8,0,0,1.213,2.51,1.29
49,-8,0,0,1.345,2.42,1.34
50,-8,0,0,2.683,8.3,5.24
51,-8,0,0,1.546,4.52,2.81
52,-8,0,0,0.63,3.26,2.41
