customer_id,actual_churn,predicted_churn_probability
498,0,0.81951433
2686,1,0.79918545
895,1,0.7588922
4940,0,0.10253342
2906,1,0.77085054
2491,0,0.6160744
4952,1,0.8659749
2615,1,0.34241697
4464,1,0.48160946
1741,0,0.3743695
4121,0,0.8744851
3854,0,0.44259867
3551,1,0.8694509
3763,1,0.5086026
505,1,0.7560078
3797,1,0.78164506
436,0,0.3084631
3657,0,0.39556867
4328,1,0.7645418
4891,0,0.5180987
2388,1,0.32957354
1131,0,0.67207015
3172,0,0.68550944
2995,1,0.6509516
4366,1,0.37203285
3947,0,0.23390234
2617,0,0.1533751
650,0,0.308546
4604,1,0.6930245
2538,0,0.4278389
4807,1,0.45694375
4200,0,0.3370426
3461,0,0.3050208
4849,1,0.5747819
4605,0,0.90070933
1862,1,0.5102533
3477,0,0.751742
3967,1,0.6205436
4493,1,0.66593254
3373,1,0.6862346
3761,1,0.5702507
3299,1,0.37600517
1052,0,0.2890036
1069,0,0.36382183
418,0,0.79983664
1974,0,0.34715486
389,1,0.2774604
3119,1,0.4741878
4671,0,0.25875077
1679,1,0.82743376
1667,0,0.70981574
2546,0,0.3701319
3611,0,0.35604584
3369,1,0.35501298
3670,0,0.4806974
1761,0,0.27219966
49,0,0.651565
4104,0,0.5172001
4749,1,0.74614704
4905,0,0.5832315
1440,0,0.63203335
169,1,0.44612908
2734,0,0.39703083
4258,0,0.5364478
4054,1,0.6405313
4254,1,0.6680499
3744,0,0.3579719
2036,0,0.54019845
1141,1,0.5525061
1302,1,0.70036864
1551,0,0.25075758
2128,0,0.44808623
3494,1,0.47736695
1002,0,0.5552915
4656,0,0.7709979
4232,0,0.26937333
213,0,0.35815164
2721,0,0.48775762
4418,0,0.3041471
2578,1,0.7145711
4209,0,0.32012346
2400,1,0.67998964
4733,1,0.41110376
2162,0,0.17044972
3626,1,0.81367654
3637,1,0.58637196
1426,0,0.44590038
2063,0,0.39578757
4659,1,0.82295626
1846,0,0.6847785
2437,1,0.8382306
2994,0,0.8175319
249,0,0.34078538
4852,1,0.7370116
3231,0,0.383969
2041,0,0.1037016
2203,1,0.7645104
1842,0,0.75690675
4816,0,0.35936925
3103,1,0.871539
1139,1,0.6478323
4511,1,0.5754911
3678,1,0.8012209
4901,0,0.5067942
2598,0,0.51515806
2537,1,0.6835368
2582,0,0.7812229
2011,0,0.27857095
2169,0,0.2631491
1544,0,0.14751238
2038,1,0.29347393
4290,1,0.7629739
1053,0,0.3385567
1016,0,0.20974512
1669,0,0.34208745
439,1,0.6364741
3493,1,0.82666093
4688,0,0.5028315
3765,0,0.30511644
2250,1,0.2979981
912,0,0.58674526
977,1,0.64023477
77,0,0.35210076
4533,0,0.6657039
1077,1,0.7356369
3096,0,0.22040734
4268,0,0.6572749
3695,1,0.6240603
1491,1,0.55671585
2015,0,0.38169247
2853,0,0.5846433
4557,0,0.43086112
241,1,0.6862591
3175,1,0.83470994
4332,1,0.77299875
4709,1,0.2870456
3188,0,0.67094374
4965,0,0.4098209
1387,1,0.7989751
3239,0,0.41397873
4804,0,0.2624442
3265,1,0.54477346
270,1,0.1799314
2235,0,0.79404396
1646,1,0.3584762
75,0,0.29624918
1596,1,0.89312756
3578,1,0.3956997
3032,0,0.40046474
2440,0,0.71844715
1327,0,0.26338363
654,1,0.29308295
3163,1,0.25608462
1822,0,0.47900972
3364,1,0.7324064
733,1,0.64912164
4471,1,0.6646514
1772,1,0.6436801
633,0,0.18159012
4672,1,0.4179866
4662,1,0.77643096
39,0,0.21788946
276,0,0.3941229
2024,0,0.29320562
4902,0,0.39539394
3336,0,0.42601982
3484,0,0.84202886
4683,0,0.75163126
2611,1,0.55744773
199,0,0.21972145
301,1,0.5955007
3459,0,0.16651969
2347,0,0.7163025
1920,0,0.69088286
1678,0,0.5014499
2938,0,0.26642147
3252,1,0.8266438
323,1,0.4665196
2013,0,0.1568905
3234,1,0.34454358
584,1,0.45489925
2935,0,0.71191555
3632,0,0.7296779
1836,0,0.18457633
1027,1,0.61219895
2698,1,0.3453076
4591,0,0.5766216
195,0,0.27065045
4872,0,0.2584147
897,1,0.22028893
754,0,0.2772673
73,1,0.892074
1600,0,0.28751776
621,0,0.7959307
1194,1,0.586016
3634,0,0.39645308
4080,1,0.5122826
2366,0,0.65760523
4888,0,0.66068023
2958,1,0.23148553
2056,0,0.52268225
4017,0,0.43157434
231,0,0.25516358
4943,0,0.8676926
1356,0,0.3372255
2074,1,0.86440545
472,0,0.40922657
4110,1,0.61945677
4624,1,0.80229247
1272,0,0.4055542
4978,0,0.18336342
4151,1,0.4730363
1271,1,0.6659098
4242,0,0.7673522
720,1,0.7286361
1492,1,0.67277473
2738,0,0.82770306
3963,1,0.7175404
4795,0,0.60899186
2999,1,0.59370434
2083,1,0.82178646
3164,1,0.75030243
1111,1,0.41299194
1868,0,0.28153372
2220,0,0.37094074
3384,1,0.87821794
4440,1,0.7903798
1121,1,0.7753681
4851,1,0.49665934
1243,1,0.42454764
4574,0,0.34693477
2499,1,0.75635946
1080,1,0.3143815
1103,1,0.88015187
976,1,0.8080921
2361,1,0.76139873
1840,1,0.7680238
1262,1,0.42569384
1421,1,0.74651897
2626,1,0.41169903
1693,0,0.12714186
10,0,0.50434756
3607,1,0.33939293
2186,0,0.24515833
2932,0,0.29400578
469,1,0.17437047
93,0,0.46432748
2705,1,0.76836467
2820,1,0.8653843
4117,1,0.43147928
562,0,0.4822344
126,0,0.4612362
3499,1,0.37039503
401,1,0.46102378
1385,0,0.65246695
2752,1,0.7001982
1620,0,0.33429593
1509,0,0.28572288
2613,0,0.33268413
2684,1,0.5964348
530,0,0.5080349
327,1,0.65914327
2386,1,0.84059376
4382,1,0.6853383
933,1,0.5797988
3082,0,0.13941963
993,1,0.6627683
3616,1,0.8935316
1487,1,0.5464647
3575,0,0.43468723
4216,0,0.31141666
1163,1,0.7810078
759,1,0.42091194
3780,1,0.67570084
3576,0,0.40841904
898,0,0.32583675
1762,1,0.44343552
1793,1,0.3231143
4825,1,0.2888035
3940,1,0.50175315
3952,1,0.80664724
984,0,0.6340308
2171,1,0.47785887
1863,1,0.824284
2655,1,0.61342967
2570,0,0.7418115
1881,1,0.5458619
4373,0,0.36488402
2802,0,0.36489838
4097,1,0.79970807
989,0,0.39433345
4161,1,0.8750899
2505,0,0.1888663
1285,0,0.73458666
4544,0,0.34007952
994,1,0.45264378
4874,0,0.53260607
2835,1,0.6557111
3020,0,0.31853583
1256,1,0.7680337
4020,0,0.3566299
1296,1,0.7425929
3248,1,0.89308596
2364,0,0.6666938
1025,1,0.85124844
3654,0,0.20973822
348,1,0.45869437
1507,1,0.74260795
3232,0,0.12764008
1198,1,0.634353
344,1,0.6355662
4158,0,0.24685137
4588,1,0.45226073
3581,1,0.67873806
1505,1,0.6284778
4748,0,0.26795134
1671,0,0.29242808
2851,0,0.3653196
352,0,0.19915079
2476,0,0.2128407
4358,0,0.22394022
3735,1,0.2724787
709,1,0.48501578
3595,1,0.34787405
3604,0,0.24062894
3405,0,0.7205883
1992,0,0.90161085
980,0,0.47046167
1796,0,0.33745962
3340,1,0.571252
3719,1,0.83469427
4867,0,0.3570243
3407,1,0.50304353
4833,1,0.50963694
4700,1,0.7069997
875,1,0.6351209
2101,1,0.7209873
2081,1,0.47077215
3268,0,0.7331549
4579,0,0.6016532
4813,0,0.40244558
1126,1,0.9153753
3655,1,0.34811518
2757,1,0.6918932
122,1,0.8328517
1058,0,0.36455783
4230,0,0.2520919
1331,1,0.6007066
2670,1,0.38149276
4411,0,0.3242452
2693,0,0.75130135
3269,1,0.7799684
425,1,0.7106822
2484,1,0.43160155
2241,0,0.34120154
3386,1,0.6546923
1937,0,0.46825895
4741,0,0.20471072
2900,1,0.5396366
3118,0,0.6439276
2249,0,0.48556185
2061,1,0.67880964
592,0,0.32080564
4530,0,0.69531995
2685,0,0.16086307
2239,0,0.3671862
459,1,0.39857644
3879,1,0.35606807
3776,1,0.42189926
550,0,0.39763838
4986,1,0.31833145
152,0,0.8626828
303,1,0.63018537
1490,0,0.330741
33,0,0.478327
4108,1,0.7391176
3298,1,0.4055732
4823,1,0.78917956
3451,1,0.6882392
4957,0,0.62936556
2261,0,0.7549281
2084,0,0.33106297
2487,1,0.72917765
4718,1,0.6914341
2305,0,0.24500237
1859,0,0.41187277
4015,1,0.78738624
3829,1,0.6865515
4507,0,0.26626322
3063,1,0.35604247
1224,1,0.676113
3688,1,0.67398363
1971,0,0.52144736
4959,0,0.37585673
4685,0,0.7314422
2431,1,0.543857
1858,0,0.35860673
3481,0,0.5267696
3019,0,0.22641055
1586,1,0.7135572
1088,1,0.7635827
1540,0,0.47249734
3532,0,0.3835037
2580,1,0.7531204
4566,1,0.6893695
1845,1,0.29576978
3464,0,0.32676625
4590,1,0.56362665
4213,1,0.7785812
3080,0,0.44788238
3555,1,0.39268127
1632,1,0.79662484
1700,1,0.7415109
2870,1,0.20714527
2145,0,0.6208964
2952,1,0.85513836
1014,1,0.74398875
2187,1,0.8979124
1415,0,0.18594709
1381,0,0.43772602
1375,0,0.68798715
1158,0,0.29412574
4970,1,0.5701852
667,0,0.794236
2786,0,0.693509
3470,0,0.53209937
4003,0,0.6048625
4227,1,0.8286028
2094,0,0.21731104
1192,1,0.30416408
2181,1,0.64434856
3362,1,0.67845744
4664,1,0.30379885
4457,0,0.23298684
929,1,0.88435465
3691,1,0.5435584
2439,0,0.3561744
4695,1,0.46037227
3211,1,0.25280827
4545,0,0.37062466
3693,0,0.37111333
2669,0,0.60842454
4991,1,0.46587622
3281,0,0.61948717
3754,1,0.48624274
1457,0,0.2473063
3672,1,0.5711141
4417,1,0.9040341
2350,0,0.17824723
3865,0,0.57611614
2335,0,0.2621335
1424,1,0.5740619
3549,1,0.103557624
3471,1,0.57921606
313,0,0.45218107
2376,1,0.43444076
499,0,0.4439159
2205,1,0.53179497
3975,0,0.45020902
481,1,0.33496958
2043,1,0.9030028
1683,0,0.80192196
3894,1,0.7299591
4821,0,0.55140966
57,0,0.4282085
1708,1,0.51732427
4897,0,0.18517525
2709,0,0.26891696
2286,0,0.20161214
2010,0,0.8758762
3174,0,0.5469816
850,1,0.73998284
2739,1,0.63076663
858,1,0.8098788
3135,1,0.70511633
1146,1,0.4306016
4377,1,0.7351949
541,1,0.7461836
3233,1,0.41711557
4384,1,0.40761498
4136,0,0.13818528
339,0,0.10770967
1357,0,0.6443407
1611,0,0.54235923
3983,0,0.7293655
4776,1,0.3003248
1202,1,0.78584886
583,0,0.2107543
3656,1,0.23456223
3073,0,0.66524965
615,1,0.25619206
4167,1,0.23780414
462,0,0.34216753
1366,0,0.5124104
3775,1,0.6889321
234,1,0.8563302
2380,1,0.6621199
4572,1,0.6489155
2151,1,0.6635156
2227,0,0.67255217
3726,1,0.83978593
4725,0,0.48889768
2731,1,0.2927899
1316,1,0.5948283
2240,1,0.83189666
2622,0,0.6265565
3169,0,0.15926589
2158,1,0.539254
1792,1,0.30279464
1510,1,0.6931265
1927,1,0.35824886
2166,1,0.2934495
465,0,0.37979925
4983,1,0.43143922
