customer_id,baseline_sessions_30d,tenure_months,digital_transaction_share,support_tickets_90d,estimated_cate,aipw_pseudo_outcome,effect_decile,engagement_band,tenure_band
1,3.1,40.1,0.306,0,0.06706832860320226,0.3109420289316922,6,low,established
2,8.0,86.7,0.38,0,0.09743361341432275,-0.5017602712322644,7,medium,long_tenure
3,6.3,24.8,0.617,1,-0.08566384700886907,1.9925875280637178,1,medium,established
4,11.3,23.3,0.569,2,-0.011961744894748013,1.3304555724800575,3,medium,established
5,16.9,13.3,0.99,1,-0.19477189436492734,-1.0103233083975467,1,high,new
6,1.6,27.7,0.517,2,0.04478362386832704,-1.2207965764092774,5,low,established
7,0.0,3.2,0.343,1,0.1688319608654473,-1.2393183401966952,9,low,new
8,4.0,15.1,0.155,1,0.13108052570185932,0.3781896410982035,8,low,new
9,18.6,33.2,0.849,0,0.07480705631552305,-1.720543075940291,6,high,established
10,9.2,49.5,0.636,0,-0.07068670732275902,-0.5465332483412388,1,medium,long_tenure
11,8.7,53.0,0.69,0,0.10347940244955559,-1.8014954615527061,8,medium,long_tenure
12,4.5,22.2,0.308,0,0.17683409021725127,0.46976291880761595,10,low,established
13,9.8,34.4,0.61,2,0.09519923315730247,0.676867593663319,7,medium,established
14,1.8,14.5,0.45,1,0.22846058975440173,-0.7826088660129712,10,low,new
15,10.1,62.9,0.748,0,-0.030645051193942858,0.7926080021926492,2,medium,long_tenure
16,18.3,23.3,0.866,1,0.057883738449449884,-0.5936234248272524,6,high,established
17,8.0,54.5,0.639,1,-0.0032294670390484344,1.4088421435493468,3,medium,long_tenure
18,17.2,14.5,0.932,0,0.005109198728038627,0.6309363871523462,3,high,new
19,0.0,21.5,0.526,0,-0.11257747906230268,2.8922653586476925,1,low,established
20,9.5,49.3,0.5,2,0.0538696932904778,-0.5238717343562683,5,medium,long_tenure
21,4.1,15.4,0.092,0,0.0003538353346042024,-0.8196433419229405,3,low,new
22,11.4,46.1,0.614,1,0.07842070127762679,0.9547546921377413,7,medium,established
23,4.0,25.0,0.405,2,0.10596956471378755,0.3809842265164336,8,low,established
24,6.8,34.9,0.303,0,0.13272436168851331,0.5054910764942556,9,medium,established
25,3.4,26.3,0.264,1,0.13420647604925226,0.49400919095275714,9,low,established
26,9.8,14.8,0.837,1,0.10010107709189525,-0.6990340787943333,7,medium,new
27,7.4,44.6,0.627,0,0.23735701327680067,-0.6425992930618944,10,medium,established
28,16.5,15.3,0.91,1,0.05737662681790505,-0.48297403438929254,6,high,new
29,16.4,30.8,0.649,0,0.06074700962793096,-0.4813687239321072,6,high,established
30,9.4,16.2,0.397,2,0.1291869378984363,-1.0759396942476667,8,medium,new
31,3.1,19.1,0.554,1,0.1797534118000728,2.296505970118924,10,low,established
32,3.6,17.4,0.409,1,0.10473170296532963,0.37491270523393533,8,low,new
33,5.0,53.6,0.64,0,0.139748673470939,-0.6503393564303507,9,low,long_tenure
34,2.6,65.0,0.493,0,0.015438001163951795,-0.5790132430850794,4,low,long_tenure
35,7.7,67.3,0.64,1,-0.130060433978321,0.7906595663635481,1,medium,long_tenure
36,14.0,21.2,0.859,0,0.021378974675450975,-1.6181340902582046,4,high,established
37,18.9,4.3,0.832,0,0.04483651712992793,-0.48953714633280254,5,high,new
38,2.1,42.2,0.479,0,0.24555451382595878,-2.3425452871389156,10,low,established
39,16.8,19.1,0.804,0,0.06864483573473824,0.5701264718970701,6,high,established
40,14.7,24.9,0.807,3,-0.12031237655252597,1.3243541628366913,1,high,established
41,7.5,84.1,0.602,0,-0.23509706324992266,-3.2821158995206132,1,medium,long_tenure
42,4.5,44.6,0.517,0,-0.06549235180320272,0.48668651919438827,2,low,established
43,10.2,54.9,0.568,2,-0.0019617997591754375,0.6384889317072094,3,medium,long_tenure
44,9.4,50.7,0.606,0,0.005946462037399421,1.2314001279929214,4,medium,long_tenure
45,3.4,28.8,0.36,1,0.12531384196186107,0.5151483029526132,8,low,established
46,1.8,32.5,0.578,2,0.04637883390611162,-0.8663242099630257,5,low,established
47,9.8,71.1,0.681,1,-0.05183408461291679,1.5082022461417322,2,medium,long_tenure
48,10.8,11.7,0.813,0,0.09803302044144656,1.1964543163046775,7,medium,new
49,11.2,46.3,0.547,2,-0.17293460645460257,-1.1425654674464896,1,medium,established
50,14.9,16.0,0.99,0,0.010042794681357856,-0.6186622358252896,4,high,new
51,16.0,17.5,0.588,1,0.04926576258612471,-0.8451924913684514,5,high,new
52,14.6,1.0,0.934,0,0.04018896212156174,-0.436688805865197,5,high,new
53,8.4,29.7,0.489,1,-0.06525543027672509,1.7912472672116695,2,medium,established
54,9.7,27.9,0.508,1,-0.11267139522528384,-0.9190900011255888,1,medium,established
55,8.1,36.6,0.607,3,-0.024865043474361356,-0.4629550149089904,3,medium,established
56,3.6,24.8,0.485,1,0.018441777323880363,-0.6865144677651545,4,low,established
57,7.6,64.2,0.505,0,-0.09475274430990434,1.6112421044080703,1,medium,long_tenure
58,15.5,30.5,0.683,5,0.16399493229277515,-0.4087079096194947,9,high,established
59,12.4,25.4,0.933,0,0.1293928556080103,-0.6827185012223822,8,high,established
60,18.9,13.6,0.883,0,0.08972394653907782,0.512288124126357,7,high,new
61,10.5,13.5,0.602,3,-0.02577295626191279,-0.45228392663821304,3,medium,new
62,12.2,68.8,0.718,0,-0.12576730465182853,-0.5792764366119352,1,high,long_tenure
63,10.7,21.3,0.845,1,0.12675384107837231,1.0209090295142218,8,medium,established
64,4.5,6.1,0.497,0,-0.022195937890804766,0.39961125412831494,3,low,new
65,11.8,18.7,0.679,0,0.210688617233649,0.6581187932190551,10,medium,established
66,9.6,34.4,0.611,3,0.03136584270205881,0.3626757584329588,5,medium,established
67,11.0,29.8,0.799,2,0.02293948694540097,-1.1374815426456302,4,medium,established
68,11.9,36.4,0.479,2,0.06054043095697429,0.7959667766479865,6,medium,established
69,16.2,11.4,0.709,0,0.0981714762298898,1.15237364704513,7,high,new
70,6.9,76.0,0.657,1,-0.0810472658156617,0.6904681268860622,1,medium,long_tenure
71,14.3,10.6,0.973,1,0.04964654968351058,-1.255713266234418,5,high,new
72,9.2,60.0,0.357,2,0.13099434655769587,0.7905760568481414,8,medium,long_tenure
73,2.1,34.5,0.43,2,-0.1078671252140115,0.30396215035863455,1,low,established
74,15.1,25.5,0.88,1,0.005190216757704326,-0.5082485574009769,3,high,established
75,13.4,28.3,0.982,0,0.06891590968766292,0.742833819457697,6,high,established
76,17.4,1.0,0.947,0,-0.07424946494212689,1.203978910051322,1,high,new
77,14.0,36.8,0.701,0,0.07239149642773436,-0.49503946770534957,6,high,established
78,5.5,38.6,0.471,3,0.15914035216616407,-1.174349728590801,9,low,established
79,6.0,60.5,0.501,2,-0.031326051256325836,0.494431123791658,2,low,long_tenure
80,3.0,12.6,0.511,1,0.11454633325682127,0.30517188900166836,8,low,new
81,7.7,9.8,0.631,0,0.04028207503759877,-0.8901499141094287,5,medium,new
82,8.7,62.1,0.572,1,0.04374025936242801,-1.1458422701642645,5,medium,long_tenure
83,4.1,18.7,0.446,0,0.08094283251019338,-0.9876601106681623,7,low,established
84,17.0,23.8,0.784,0,0.12017628485946488,-1.5533640453672823,8,high,established
85,17.2,28.9,0.99,0,-0.026176439372808277,-0.446309483494391,3,high,established
86,18.0,15.0,0.963,0,0.25884010243724764,0.4828636973477583,10,high,new
87,0.0,19.1,0.516,2,0.02462078229430844,-0.5436648783658788,4,low,established
88,5.0,68.3,0.791,1,-0.040757928294018926,1.4481675646596244,2,low,long_tenure
89,17.5,12.9,0.99,0,-0.0712176792286697,-0.4469689670852771,1,high,new
90,8.6,57.9,0.643,2,-0.030407207143229413,-0.6379906280890711,2,medium,long_tenure
91,18.6,28.4,0.88,0,0.1951952900388271,1.498791288183151,10,high,established
92,4.8,46.1,0.732,3,0.15057414602860944,0.5003859058907213,9,low,established
93,6.7,75.0,0.643,0,0.1606949247966183,-0.49218603514200665,9,medium,long_tenure
94,7.2,60.0,0.558,1,0.1885065469736144,-0.8884127192863999,10,medium,long_tenure
95,8.4,36.3,0.856,0,0.05851987767907891,-0.41553772165503355,6,medium,established
96,9.1,29.2,0.487,3,-0.11045047406862835,-0.45962993940783886,1,medium,established
97,9.3,52.9,0.449,2,-0.13883612571039006,0.5156636977913517,1,medium,long_tenure
98,15.7,14.4,0.99,1,-0.08400991105654337,-0.871018032382419,1,high,new
99,19.7,7.9,0.82,1,-0.10217734209238191,0.9390209189446058,1,high,new
100,9.1,21.8,0.478,1,-0.018698860723544652,-1.3910680835877676,3,medium,established
101,1.5,9.5,0.63,1,0.12772237775122575,0.4050970442951296,8,low,new
102,9.1,15.6,0.439,0,-0.008489025170848388,-0.8360099275552448,3,medium,new
103,18.2,30.7,0.895,1,0.03533872843287472,0.5432072084920754,5,high,established
104,6.1,10.4,0.593,0,0.17175285409778485,-0.8408736837185077,9,medium,new
105,3.4,22.0,0.505,0,0.13392455397623165,0.5811432389415485,9,low,established
106,9.7,42.5,0.57,6,-0.11422184907928357,-0.48548785127008204,1,medium,established
107,3.7,73.0,0.903,1,0.0458809467499913,-0.7006396520339193,5,low,long_tenure
108,15.9,25.5,0.89,0,0.03463279359369172,0.5672705269772105,5,high,established
109,12.1,19.6,0.944,1,0.10364282256551517,0.7050493087209964,8,high,established
110,5.9,30.7,0.611,1,-0.0006214803519803573,0.6902071167291712,3,low,established
111,5.0,78.5,0.748,1,0.13780740477452177,-0.7445294694436848,9,low,long_tenure
112,16.4,21.1,0.99,0,-0.12638524037290721,-1.4116705452704852,1,high,established
113,8.9,40.0,0.541,0,-0.13534813066135495,0.5952644850155635,1,medium,established
114,9.2,24.7,0.725,5,0.058153477641979465,-0.37098300628428416,6,medium,established
115,14.3,24.4,0.919,0,0.02321367119923193,-2.0898755700009417,4,high,established
116,3.9,14.5,0.348,1,0.03573509387156099,0.4527817979935489,5,low,new
117,7.7,41.4,0.454,0,0.20489679797103263,2.178505240658011,10,medium,established
118,7.9,30.2,0.611,4,0.04357456603034664,-1.5754390532980873,5,medium,established
119,8.1,63.0,0.845,0,-0.0762927048770106,1.0753644530903,1,medium,long_tenure
120,7.5,44.5,0.632,4,-0.028648223529033377,-0.39490753903883186,2,medium,established
121,11.8,28.8,0.504,1,-0.07312571553878312,1.8136837098676737,1,medium,established
122,9.2,33.1,0.479,5,0.014168343826747835,-0.3441675266852248,4,medium,established
123,13.9,26.8,0.895,0,0.1260512207215169,-0.38935690131579304,8,high,established
124,8.0,44.3,0.492,2,0.015531847005634071,-0.7813196473514747,4,medium,established
125,15.3,12.6,0.821,0,0.10861554852895738,1.129381736633491,8,high,new
126,11.8,71.9,0.613,1,0.03458143785207294,-0.7243677464176531,5,medium,long_tenure
127,7.9,62.8,0.594,0,-0.04787668111296839,0.8056682933338833,2,medium,long_tenure
128,12.3,33.6,0.98,1,0.10124819187606605,-0.9075688130883641,7,high,established
129,17.3,1.0,0.819,0,-0.005094407834734698,1.2700007272175937,3,high,new
130,13.8,10.7,0.318,5,0.0707625576297882,-0.4592591721766761,6,high,new
131,19.2,25.2,0.715,0,0.13394451243613426,0.6621673030301753,9,high,established
132,1.5,32.4,0.428,0,0.13910432358893277,0.3566995527121131,9,low,established
133,8.3,28.7,0.525,1,-0.08586845785896613,-1.0386747057514722,1,medium,established
134,7.9,66.8,0.504,1,-0.05942686800528859,-2.169714177030828,2,medium,long_tenure
135,8.9,39.9,0.805,2,-0.05459471154754735,0.8869917879053735,2,medium,established
136,17.0,6.2,0.99,0,0.07341547833012604,-0.4971513458966099,6,high,new
137,3.6,13.5,0.424,1,0.09969032423141339,0.4642513165762241,7,low,new
138,5.5,64.3,0.666,0,0.05897658150787177,0.6578668511874987,6,low,long_tenure
