feature,stage,smd
age,before,-0.16337960028202417
tenure_months,before,-0.18893135819616635
annual_income,before,-0.13533882225012359
avg_balance,before,-0.14933787419976122
baseline_sessions_30d,before,0.2781409153238172
digital_transaction_share,before,0.22197003246985392
support_tickets_90d,before,0.18904281735603934
product_count,before,-0.07389220208900718
prior_nps,before,-0.005932104956056797
missed_payment_flag,before,0.10941711252436098
metro_flag,before,0.07800998796287108
pre_avg_active_days,before,0.11496798208473996
age,after,-0.00998773747964639
tenure_months,after,-0.014737363661334482
annual_income,after,0.03412507213061008
avg_balance,after,-0.003152214712549329
baseline_sessions_30d,after,0.03941422697938113
digital_transaction_share,after,0.03376173557682646
support_tickets_90d,after,-0.05043438823539347
product_count,after,0.017851687908059022
prior_nps,after,0.018916776918391238
missed_payment_flag,after,-0.024788550258387106
metro_flag,after,0.013458006274369922
pre_avg_active_days,after,0.004025557664328672
